country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,658,M-60A3 Patton-2,tank,1991,1992-1993,658,Second-hand; 'CFE Cascade' aid
     ,10,R-22,light helicopter,1991,1992,10,For Army; for training
     ,469,Stinger,portable SAM,1991,1992,469,$33 m deal (incl 150 launchers)
     ,3,T-38A Talon,trainer aircraft,1991,1993,3,Second-hand; $0.8 m deal
     ,1,TPS-77,air search radar,1991,1993,1,$15 m deal
     ,14,AH-1S Cobra,combat helicopter,1992,1992-1993,14,Second-hand AH-1P version; incl for use against PKK rebels
     ,5,AH-1W SuperCobra,combat helicopter,1992,1993-1994,5,$110 m deal; incl for use against PKK rebels
     ,200,AIM-9M Sidewinder,SRAAM,1992,1996-1997,200,$23 m deal; possibly AIM-9S version
     ,6,Cessna-337/O-2,light aircraft,1992,1993,6,Second-hand Army
     ,124,Commando V-150,APC,1992,1992-1994,124,Deal worth $29-40 m; V-150S version; for police; incl 20 with water cannon
     ,45,S-70/UH-60A,helicopter,1992,1993-1994,45,S-70A-28 version; incl for police; Turkish designation Karaku
     ,40,T-38A Talon,trainer aircraft,1992,1993,40,Second-hand; $11 m deal
     ,5,TPQ-36 Firefinder,arty locating radar,1992,1995-1997,5,Deal worth $28 m
     ,2,TPS-77,air search radar,1992,1994-1995,2,
     ,80,AGM-65 Maverick,ASM,1993,1995-1996,80,
     ,100,AGM-88 HARM,ARM,1993,1994-1995,100,For F-16C combat aircraft
     ,16,AH-1S Cobra,combat helicopter,1993,1994-1995,16,Second-hand; 'Southern Region Amendment' aid programme; AH-1P version; incl 4 TAH-1P version; incl for use against PKK rebels
     ,138,AIM-120B AMRAAM,BVRAAM,1993,1997-1999,138,For F-16C combat aircraft
     ,32,Harpoon Block-1,anti-ship missile,1993,1993,32,For Knox (Tepe) frigates
     ,50,Harpoon Block-1,anti-ship missile,1993,1997-2001,50,UGM-84 version for Type-209/1400 (Preveze) submarines
     ,32,Harpoon Block-1,anti-ship missile,1993,1994,32,Part of $170 m deal; for Knox (Tepe) frigates
     ,50,Harpoon Block-1,anti-ship missile,1993,1998-2000,50,For Kilic FAC
     ,4,Knox,frigate,1993,1993,4,Second-hand; lease (until bought in 1998); Turkish designation Tepe
     ,4,Knox,frigate,1993,1994,4,Second-hand; 5-year lease (bought after lease ended 1998); Turkish designation Tepe
     ,1,Mk-15 Phalanx,naval gun,1993,1995,1,For 1 Akar support ship produced in Turkey
     ,1,MX-7,light aircraft,1993,1993,1,For Navy
     ,40,AIM-7P Sparrow,BVRAAM,1994,1996-2000,40,For MEKO-200T-2 (Barbaros) frigates; RIM-7P Sea Sparrow (SAM) version
     ,500,AIM-9M Sidewinder,SRAAM,1994,1998-1999,500,$55 m deal (incl 30 training missiles); AIM-9S version
     ,6,Gnat,UAV,1994,1995,6,$6-20 m deal (incl 2 control stations)
     ,7,KC-135 Stratotanker,tanker/transport ac,1994,1997-1998,7,Second-hand but modernized to KC-135R before delivery
     ,2,Mk-41 VLS,naval SAM system,1994,1998-2000,2,For 2 MEKO-200 (Barbaros) frigates from FRG
     ,2,Mk-45 127mm,naval gun,1994,1998-2000,2,For 2 MEKO-200T-2 (Barbaros) frigates from FRG
     ,126,AIM-7E Sparrow,BVRAAM,1995,1995-1996,126,Second-hand; aid
     ,686,BGM-71 TOW,anti-tank missile,1995,1996,686,Designation uncertain
     ,13,Blindfire,fire control radar,1995,1996,13,Second-hand; aid; for use with Rapier SAM systems
     ,16,Gnat,UAV,1995,1995-1996,16,I-Gnat version
     ,16,Harpoon Block-1,anti-ship missile,1995,2002,16,$15 m deal; for MEKO-200T-2 (Barbaros) frigate
     ,2,KC-135 Stratotanker,tanker/transport ac,1995,1995,2,Second-hand; lease
     ,100,Paveway,guided bomb,1995,1996,100,Paveway-2 version
     ,3,Perry,frigate,1995,1998,3,Second-hand; incl 2 'SAP' aid and 1 lease (until 2001 when transferred as aid); Turkish designation Gaziantep
     ,14,Rapier,SAM system,1995,1996,14,Second-hand; aid
     ,515,Rapier-1,SAM,1995,1996,515,Second-hand; aid
     ,72,ATACMS Block-1,SSM,1996,1998,72,$48 m deal
     ,400,RIM-66B Standard-1MR,SAM,1996,1998-2003,400,Second-hand; probably all aid; for Perry frigates
     ,5,MPQ-64 Sentinel,air search radar,1997,1999-2001,5,For use with FIM-92 SAMs
     ,18,CT7,turboprop,1998,2013-2014,18,For 6 CN-235D/K ASW and 3 CN-235 MP aircraft from Spain
     ,80,Dragoon,APC,1998,2002-2004,80,Part of $45 m deal; for police
     ,2,Gnat,UAV,1998,1998,2,I-Gnat version
     ,25,M-578,ARV,1998,1999,25,Second-hand; aid
     ,2,Perry,frigate,1998,1999-2000,2,Second-hand (1 more delivered for spare parts only); Turkish designation Gaziantep
     ,8,S-70B/SH-60B Seahawk,ASW helicopter,1998,2002,8,S-70B-28 version
     ,84,AGM-114K HELLFIRE,anti-tank missile,1999,2000-2001,84,$6.7 m deal; AGM-114M version; for anti-ship role; for S-70B helicopters; bought after Norwegian refused to sell Penguin
     ,50,S-70/UH-60L,helicopter,1999,1999-2002,50,"$561 m deal (offsets $110 m); originally ordered 1992, but deal suspended 1994-1999 for financial reasons and as reaction to US policy towards Turkish actions against Kurds; S-70A-28 and S-70A-28D versions; Turkish designation Karaku"
     ,72,AGM-114K HELLFIRE,anti-tank missile,2000,2001-2002,72,For Bell-209/AH-1W helicopters
     ,1,Perry,frigate,2000,2000,1,Second-hand; $29 m deal; Turkish designation Gaziantep
     ,1,Perry,frigate,2001,2002,1,Second-hand; Turkish designation Gaziantep
     ,144,AGM-114K HELLFIRE,anti-tank missile,2002,2003-2004,144,For Bell-209/AH-1W helicopters
     ,8,I-HAWK,SAM system,2002,2005,8,Second-hand; $100 m deal; modernized (partly in Norway) to I-HAWK PIP-3 before delivery
     ,175,MIM-23B HAWK,SAM,2002,2005,175,Second-hand; aid
     ,8,MPQ-64 Sentinel,air search radar,2002,2005,8,For use with 8 modernized I-HAWK SAM systems
     ,1,Perry,frigate,2002,2003,1,Second-hand; Turkish designation Gaziantep
     ,2,S-70/UH-60L,helicopter,2003,2004,2,$27 m deal; Turkish designation Karaku
     ,163,APG-68,combat ac radar,2005,2009-2015,163,Part of $1.1 b 'Peace Onyx-3' modernization of 163 Turkish F-16C combat aircraft; APG-68(V)9 version
     ,398,JDAM,guided bomb,2005,2007-2009,398,
     ,4,Mk-41 VLS,naval SAM system,2005,2013-2014,4,For 'Genesis' modernization of 4 Perry (Gabya) frigates
     ,104,AGM-154 JSOW,guided bomb,2006,2007-2008,104,$35 m deal; incl 50 AGM-154A-1 and 54 AGM-154C version
     ,50,AGM-84H SLAM-ER,ASM,2006,2011,50,For F-16 combat aircraft
     ,127,AIM-9X Sidewinder,BVRAAM,2006,2008,127,$36 m deal
     ,100,CBU-97 SFW,guided bomb,2006,2007-2008,100,CBU-105 and CBU-103 version
     ,17,S-70B/SH-60B Seahawk,ASW helicopter,2006,2012-2014,17,Part of $500 m deal (mainly financed with US loan; offsets 50%); delivery delayed from 2009-2010
     ,2,LM-2500,gas turbine,2007,2011-2013,2,For 2 MilGem (Ada) frigates produced in Turkey
     ,125,RIM-116A RAM,SAM,2007,2011-2019,125,For MilGem (Ada) frigates
     ,107,AIM-120C AMRAAM,BVRAAM,2008,2013-2014,107,Possibly $157 m deal; AIM-120C-7 version
     ,25,Harpoon Block-2,anti-ship missile/SSM,2008,2011,25,
     ,30,AAQ-13 LANTIRN,combat ac radar,2009,2011-2012,30,
     ,30,AAQ-33 Sniper,aircraft EO system,2009,2011-2012,30,
     ,46,Cessna-180 Skywagon,light aircraft,2009,2009-2010,46,Cessna-T182T Skylane version; for training
     ,468,ISL,diesel engine,2009,2010-2015,468,For 468 Kirpi (BMC-350 or Navigator) APC from Israel
     ,100,Mk-54 MAKO 324mm,ASW torpedo,2009,2012-2014,100,$105 m deal
     ,3,AH-1W SuperCobra,combat helicopter,2011,2012,3,Second-hand
     ,6,CH-47F Chinook,transport helicopter,2011,2016,6,$400 m deal
     ,4,Mk-15 Phalanx,naval gun,2011,2017-2018,4,Phalanx Block-1B version; for 2 Bayraktar landing ships produced in Turkey
     ,90,Stinger,portable SAM,2011,2013,90,
     ,300,JDAM,guided bomb,2012,2013,300,
     ,5,King Air,light transport ac,2012,2012,5,Second-hand King Air-350 version but modified to surveillance aircraft before delivery; $70 m 2-year lease (extended after 2 years)
     ,4,DB-110,aircraft recce system,2013,2014,4,
     ,50,ISC,diesel engine,2013,2014-2015,50,For 50 Ejder Yalcin APC produced in Turkey; designation uncertain (reported as 'Cummins 375hp diesel')
     ,145,AIM-120C AMRAAM,BVRAAM,2014,2016-2019,145,AIM-120C-7 version
     ,117,AIM-9X Sidewinder,BVRAAM,2014,2015-2016,117,AIM-9X Block-2 version
     ,4,CH-47F Chinook,transport helicopter,2015,2018-2019,4,Part of $131 m deal
     ,1300,JDAM,guided bomb,2015,2017-2018,1300,"GBU-38, GBU-54, BLU-109 versions"
     ,2,LM-2500,gas turbine,2015,2018-2019,2,For 2 MilGem (Ada) frigates produced in Turkey
     ,2,Mk-15 Phalanx,naval gun,2015,,,For 1 BPE (Anadolu) AALS from Spain
     ,4,Mk-15 Phalanx,naval gun,2015,2017-2018,4,For 2 Bayraktar landing ships produced in Turkey
     ,48,AGM-84H SLAM-ER,ASM,2016,2016-2017,48,
     ,50,ISC,diesel engine,2016,2016,50,For 50 Ejder Yalcin APC produced in Turkey; designation uncertain (reported as 'Cummins 375hp diesel')
     ,184,ISL,diesel engine,2016,2020-2021,150,For 184 Kaplan-ATV reconnaissance armoured vehicles produced in Turkey; designation uncertain (reported as 'Cummins 360hp diesel')
     ,4,LM-2500,gas turbine,2016,,,For 4 TF-100 (I or MilGem-G) frigates produced in Turkey
     ,4,Mk-15 Phalanx,naval gun,2016,,,For 4 TF-100 (I or MilGem-G) frigates produced in Turkey
     ,4,Mk-41 VLS,naval SAM system,2016,,,For 4 TF-100 (I or MilGem-G) frigates produced in Turkey
     ,150,RIM-116A RAM,SAM,2016,,,For TF-100 (I or MilGem-G) frigates and BPE (Anadolu) AALS
     ,160,FGM-148 Javelin,anti-tank missile,2017,2017,160,
     ,529,ISL,diesel engine,2017,2018-2020,529,For 529 Kipri-1 APC produced in Turkey
     ,100,JDAM,guided bomb,2017,2018,100,
     ,57,ISL,diesel engine,2018,2019-2020,57,For 57 Hizir APC produced in Turkey
     ,658,JDAM,guided bomb,2018,2019-2021,658,
     ,,RIM-162 ESSM Block-2,SAM,2020,,,
,,,,,,,
Turkmenistan,,,,,,,
,4,AE-2100,turboprop,2019,2021,4,For 2 C-27J transport aircraft from Italy
     ,12,F-124,turbofan,2019,2021,12,For 6 M-346FA trainer/combat aircraft from Italy
,,,,,,,
UAE,,,,,,,
,3,Bell-206/OH-58,light helicopter,1971,1972-1973,3,For Dubai; Bell-206B version
     ,1,Cessna-180 Skywagon,light aircraft,1971,1971,1,For Dubai; Cessna-182N version
     ,2,Bell-205/UH-1D,helicopter,1972,1973,2,For Dubai
     ,3,Bell-205/UH-1D,helicopter,1973,1974,3,For police
     ,2,C-130H Hercules,transport aircraft,1973,1975,2,For Abu Dhabi
     ,1,Bell-205/UH-1D,helicopter,1976,1977,1,
     ,3,Bell-212/UH-1N,helicopter,1976,1977,3,AB-212 version
     ,4,Bell-214,helicopter,1980,1981,4,Bell-214B version; for Dubai
     ,1,C-130H-30 Hercules,transport aircraft,1980,1981,1,For Dubai; L-100-30 version
     ,2,C-130H Hercules,transport aircraft,1980,1981,2,For Abu Dhabi
     ,1085,BGM-71 TOW,anti-tank missile,1981,1984-1985,1085,$28 m deal (incl 54 launchers and 101 training missiles)
     ,1,C-130H-30 Hercules,transport aircraft,1982,1983,1,For Dubai
     ,2,C-130H Hercules,transport aircraft,1983,1984,2,For Abu Dhabi
     ,5,I-HAWK,SAM system,1983,1986-1987,5,
     ,343,MIM-23B HAWK,SAM,1983,1986-1987,343,
     ,3,TPS-70,air search radar,1987,1987-1988,3,$45 m deal
     ,108,AIM-9L Sidewinder,SRAAM,1989,1989-1990,108,For Mirage-2000 combat aircraft
     ,620,AGM-114A HELLFIRE,anti-tank missile,1991,1993-1994,620,For AH-64A helicopters
     ,20,AH-64A Apache,combat helicopter,1991,1993-1994,20,$680 m deal
     ,1,TPS-63,air search radar,1993,1995,1,E-LASS version (on aerostat)
     ,1,TPS-70,air search radar,1993,1995,1,Part of $300 m deal
     ,360,AGM-114A HELLFIRE,anti-tank missile,1994,1996,360,For AH-64A helicopters
     ,10,AH-64A Apache,combat helicopter,1994,1996,10,Deal worth $150 m; for Abu Dhabi
     ,12,M-198 155mm,towed gun,1994,1995,12,
     ,2,King Air,light transport ac,1996,1997,2,King Air-350 version
     ,136,6V-53,diesel engine,1997,1999-2000,136,For 136 AIFV (ACV-350) APC from Turkey; 6V-53TA version
     ,72,AIM-7M Sparrow,BVRAAM,1997,1998-1999,72,$27 m deal; for Kortenaer (Abu Dhabi) frigates; RIM-7M Sea Sparrow (SAM) version
     ,24,Harpoon Block-1,anti-ship missile,1998,1998-2001,24,RGM-84G-4 version for Kortenaer (Abu Dhabi) frigates
     ,1673,Paveway,guided bomb,1998,1999-2004,1673,Incl GBU-10 and GBU-12 Paveway-2 and GBU-24 Paveway-3
     ,40,AAQ-33 Sniper,aircraft EO system,2000,2004-2008,40,For F-16 combat aircraft
     ,80,F-16E,FGA aircraft,2000,2004-2008,80,$5 b deal (incl $400 m for engines; $3 b advance payments incl for development of avionics and radar; part of $6.8 b deal); incl 25 F-16F version
     ,159,AGM-88 HARM,ARM,2001,2006-2007,159,For F-16E combat aircraft; AGM-88C version
     ,2,C-130H-30 Hercules,transport aircraft,2001,2001-2002,2,Second-hand; L-100-30 version; modernized in UK before delivery
     ,49,AGM-114K HELLFIRE,anti-tank missile,2002,2005,49,AGM-114M3 version; for AH-64D heliciopters
     ,240,AGM-114L HELLFIRE,anti-tank missile,2002,2005,240,AGM-114L3 version; for AH-64D heliciopters
     ,1163,AGM-65 Maverick,ASM,2002,2003-2007,1163,For F-16E combat aircraft; incl AGM-65G version
     ,267,AIM-9M Sidewinder,SRAAM,2002,2004-2006,267,For F-16E combat aircraft
     ,491,AIM-120B AMRAAM,BVRAAM,2003,2004-2007,491,For F-16E combat aircraft
     ,12,Harpoon Block-1,anti-ship missile,2003,2005,12,$40 m deal; AGM-84 version for F-16E combat aircraft
     ,202,JDAM,guided bomb,2003,2006,202,
     ,50,Paveway,guided bomb,2004,2005,50,Paveway-3 version
     ,8,Cessna-208 Caravan,light transport ac,2005,2005-2007,8,Cessna-208B version
     ,16,T55-L,turboshaft,2005,2006-2010,16,From Italian production line; T-55-L-712E version; for modernization of 8 CH-47C helicopters
     ,96,RIM-162 ESSM,SAM,2006,2015,96,For Baynunah corvettes
     ,30,AH-64D Apache,combat helicopter,2007,2008-2009,30,Part of $1.5 b deal; UAE AH-64A rebuilt to AH-64D Longbow version
     ,30,APG-78 Longbow,combat heli radar,2007,2008-2009,30,For AH-64D combat helicopters
     ,100,CBU-97 SFW,guided bomb,2007,2008-2009,100,CBU-105 version
     ,4,Dash-8,transport aircraft,2007,2007,4,Second-hand; for conversion to maritime patrol aircraft
     ,150,RIM-116A RAM,SAM,2007,2011-2016,150,For Baynunah corvettes; RIM-116 Block-1B version
     ,10,S-70/UH-60L,helicopter,2007,2008,10,S-70A version
     ,4,CH-47F Chinook,transport helicopter,2008,2010,4,
     ,1000,FGM-148 Javelin,anti-tank missile,2008,2009-2010,1000,
     ,1560,GMLRS,guided rocket,2008,2011-2012,1560,Part of $752 m deal; for use with HIMARS MRL
     ,300,JDAM,guided bomb,2008,2011-2012,300,
     ,20,M-142 HIMARS,self-propelled MRL,2008,2011,20,
     ,216,MIM-104C PAC-2,SAM,2008,2012-2014,216,Patriot GEM-T version
     ,292,MIM-104F PAC-3,ABM,2008,2012-2014,292,
     ,9,Patriot Configuration-3,SAM/ABM system,2008,2012-2014,9,
     ,938,Paveway,guided bomb,2008,2010-2013,938,Incl 450 GBU-24 Paveway-3 and 488 GBU-12 Paveway-2
     ,10,S-70/UH-60L,helicopter,2008,2009-2010,10,
     ,1262,AGM-114L HELLFIRE,anti-tank missile,2009,2012-2013,1262,AGM-114N version
     ,224,AIM-120C AMRAAM,BVRAAM,2009,2013-2014,224,Part of $326 m deal; AIM-120C-7 version
     ,6,C-17A Globemaster-3,heavy transport ac,2009,2011-2012,6,
     ,14,S-70/UH-60L,helicopter,2009,2012-2013,14,$209 m deal; UH-60M armed version
     ,500,AGM-65 Maverick,ASM,2010,2011-2013,500,$170 m deal; AGM-65D and AGM-65G version
     ,24,AT-802U,ground attack ac,2010,2010-2014,24,
     ,250,CBU-97 SFW,guided bomb,2010,2011-2012,250,
     ,1,F-16E,FGA aircraft,2010,2012,1,
     ,26,S-70/UH-60L,helicopter,2010,2011-2012,26,Armed UH-60M version
     ,100,ATACMS Block-1A,SSM,2011,2013,100,ATACMS Block-1A version
     ,12,CH-47F Chinook,transport helicopter,2011,2012-2015,12,
     ,6,DB-110,aircraft recce system,2011,2013,6,$81 m deal
     ,50,M-ATV,APV,2011,2011,50,$27 m deal
     ,2,THAAD,ABM system,2011,2015-2016,2,$2.5 b deal
     ,750,M-ATV,APV,2012,2013,750,AED1.4 b ($380 m) deal
     ,192,THAAD missile,ABM missile,2012,2015-2019,192,
     ,30,Bell-407,light helicopter,2013,2014-2016,30,Bell-407MRH or Bell-407GX armed version
     ,2000,Talon,anti-tank missile/ASM,2013,2015-2018,2000,$117 m deal; for AH-64D and UH-60 combat helicopters
     ,24,Archangel-BPA,ground attack ac,2014,2015-2017,24,Assembled in UAE
     ,553,Caiman,APC,2014,2016-2019,553,Second-hand
     ,5000,GBU-39 SDB,guided bomb,2014,2015-2019,5000,
     ,3600,JDAM,guided bomb,2014,2015-2016,3600,
     ,44,M-ATV,APV,2014,2016,44,Second-hand
     ,1085,MaxxPro,APC,2014,2017-2018,1085,Second-hand but rebuilt to new condition before delivery
     ,1312,MaxxPro,APC,2014,2016-2019,1312,Second-hand
     ,10,RQ-1 Predator,UAV,2014,2017,10,AED722 m ($200 m) deal; Predator XP (RQ-1E) version
     ,100,ATACMS Block-1A,SSM,2015,2018-2019,100,$174 m deal; for use with HIMARS MRL
     ,2,C-17A Globemaster-3,heavy transport ac,2015,2015,2,AED2.3 b (USD270 m) deal
     ,390,GMLRS,guided rocket,2015,2017,390,
     ,100,ISB4,diesel engine,2015,2016-2019,100,For N35 APC from South Africa
     ,12,M-142 HIMARS,self-propelled MRL,2015,2018,12,$143 m deal
     ,3504,JDAM,guided bomb,2016,2017-2018,3504,GBU-31 version
     ,200,RIM-116A RAM,SAM,2016,2018-2020,200,RAM-116 Block-1A and Block-2 version; for Baynunah and FOPV-850 (Arialah) corvettes
     ,96,RIM-162 ESSM,SAM,2016,2018-2019,96,For Baynunah corvettes
     ,1000,AGM-114K HELLFIRE,anti-tank missile,2017,2018,1000,
     ,400,C-9,diesel engine,2017,2019-2021,214,For 400 Rabdan IFV; designation uncertain (reported as 'Caterpillar diesel engine').
     ,2,DB-110,aircraft recce system,2017,2018-2019,2,MS-110 version; for 2 Global Express-6000 SIGINT aircraft from Canada and UK
     ,1500,JDAM,guided bomb,2017,2018,1500,
     ,100,MIM-104C PAC-2,SAM,2017,2019,100,Patriot GEM-T version; for Patriot SAM systems
     ,13640,Paveway,guided bomb,2017,2018-2021,12000,AED2.5 b ($680 m) deal; GBU-10 Paveway-2 and GBU-12 Paveway-2 versions
     ,38,AH-64E Apache,combat helicopter,2018,,,Including 28 UAE AH-64D rebuilt to AH-64E
     ,300,AIM-9X Sidewinder,BVRAAM,2018,2019-2021,300,
     ,60,MIM-104F PAC-3,ABM,2018,2020,60,PAC-3 MSE version; for Patriot SAM systems
     ,4,Patriot Configuration-3,SAM/ABM system,2018,2021,1,$1.6 b deal
     ,,RIM-162 ESSM,SAM,2018,,,For Gowind-2500 frigates
     ,150,MIM-104C PAC-2,SAM,2019,2021,35,$356 m deal; Patriot GEM-T version; for Patriot SAM systems
     ,452,MIM-104F PAC-3,ABM,2019,2021,100,PAC-3 MSE version; for Patriot SAM systems; delivery planned by end-2024
     ,2,Mk-48 GMVLS,naval SAM system,2019,,,For 2 Gowind-2500 frigates from France
     ,5,ScanEagle,UAV,2019,2020,5,
     ,25,AAQ-33 Sniper,aircraft EO system,2020,,,For Mirage-2000 combat aircraft
     ,331,FGM-148 Javelin,anti-tank missile,2020,2020,331,
     ,1000,AGM-114K HELLFIRE,anti-tank missile,2021,,,
,,,,,,,
Uganda,,,,,,,
,30,ISL,diesel engine,2019,2020,30,For 30 Hizir APC from Turkey
     ,1,PA-23 Aztec,light aircraft,1965,1966,1,
     ,4,Bell-206/OH-58,light helicopter,1967,1969,4,For police; Bell-206A version
     ,3,Bell-205/UH-1H,helicopter,1970,1971-1972,3,For police; Bell-205A-1 version
     ,4,Bell-212/UH-1N,helicopter,1970,1972,4,For police
     ,3,Bell-214,helicopter,1981,1982,3,
     ,3,Bell-206/OH-58,light helicopter,1982,1982,3,Bell-206B version
     ,1,L-39Z Albatros,trainer/combat ac,2009,2009,1,
     ,10,RG-33,APC,2013,2015,10,Second-hand; aid; RG-33L version; for use by peacekeepers in Somalia
     ,2,Cessna-208 Caravan,light transport ac,2014,2015,2,Aid; Cessna-208B version
     ,15,Cougar,APC,2014,2015,15,Second-hand; aid for use by Ugandan peacekeepers in Somalia
     ,5,UH-1H Huey-2,helicopter,2016,2017,5,$35 m aid; second-hand UH-1H rebuilt to UH-1H-2 before delivery
     ,23,Mamba-7,APC,2020,2020,23,For use with AMISOM in Somalia
,,,,,,,
Ukraine,,,,,,,
,210,FGM-148 Javelin,anti-tank missile,2018,2018,210,Probably second-hand
     ,50,HMMWV Up-Armoured,APV,2015,2015-2021,50,Second-hand; 'Ukrainian Security Assistance Initiative' aid; M-1114 and M-1151 versions
     ,15,TPQ-36 Firefinder,arty locating radar,2015,2015-2021,15,Second-hand; 'Ukraine Security Assistance Initiative' aid
     ,2,Island,patrol craft,2018,2018,2,Second-hand; aid; Ukrainian designation Slavyansk
     ,150,FGM-148 Javelin,anti-tank missile,2019,2020,150,
     ,3,Island,patrol craft,2019,2021,3,Second-hand; aid
     ,180,FGM-148 Javelin,anti-tank missile,2021,2021,180,Aid; delivery also incl 30 launchers
     ,300,FGM-148 Javelin,anti-tank missile,2021,,,Part of $200 m aid; delivery planned 2022
     ,8,Mk-VI,patrol craft,2021,,,USD103 m deal; 'FMF' aid; delivery planned from 2022
,,,,,,,
,,,,,,,
United Kingdom,,,,,,,
,100,S-51/H-5F,light helicopter,1948,1950-1953,100,UK designation Dragonfly
     ,170,S-55,helicopter,1950,1952-1960,170,Incl 10 HRS-2 version as 'MDAP' aid and rest produced in UK as Whirlwind; incl some Whirlwind HAS-7 ASW version
     ,400,APS-57,combat ac radar,1952,1953-1958,400,For Venom NF-2 and Sea Venom FAW-21 and FAW-22 combat aircraft produced in UK; produced under licence in UK as AI-21
     ,1,S5W,nuclear reactor,1958,1963,1,For Dreadnought submarine produced in UK
     ,40,S-55 Whirlwind-10,helicopter,1960,1961-1964,40,UK designation Whirlwind HAR-10
     ,1000,Mk-44,ASW torpedo,1961,1963-1967,1000,Incl assembly/production in UK; incl for Ikara ASW missile produced in UK
     ,2500,AGM-12B Bullpup,ASM,1962,1963-1969,2500,"AGM-12B Bullpup-A version; for Scimitar, Sea Vixen and Buccaneer combat aircraft; incl production of components in UK as part of European production line for AGM-12B (with assembly in Norway)"
     ,52,F-4K/M Phantom-2,fighter aircraft,1964,1967-1969,52,F-4K or Phantom FG-1 version; up to 50% of components produced in UK; incl 2 prototypes; incl for use on aircraft carriers
     ,118,F-4K/M Phantom-2,fighter aircraft,1965,1968-1969,118,F-4M of Phantom FGR-2 version; up to 50% of components produced in UK
     ,56,Sea King HAS-1,ASW helicopter,1968,1969-1977,56,"Sea King HAS-1 version (with UK engines, radar and ASW systems)"
     ,89,Sea King/Commando,transport helicopter,1975,1976-1986,89,Sea King HU-4 and HC-4 (Commando mk-1/2) version
     ,21,Sea King HAS-1,ASW helicopter,1975,1977-1980,21,Sea King HAS-2 version
     ,231,Tornado IDS Radar,combat ac radar,1976,1979-1985,231,For 231 Tornado IDS combat aircraft produced in UK
     ,25,Sea King HAR-3,transport helicopter,1977,1977-1984,25,For SAR
     ,34000,BGM-71 TOW,anti-tank missile,1978,1982-1996,34000,BGM-71C ITOW and BGM-71D version; for Lynx AH-1 helicopters
     ,33,CH-47C Chinook,transport helicopter,1978,1980-1982,33,GBP288 m deal (offsets 10-25% incl production of components in UK); UK designation Chinook HC-1
     ,30,Sea King HAS-5,transport helicopter,1979,1980-1986,30,Sea King HAS-5 version
     ,63,M-270 MLRS 227mm,self-propelled MRL,1985,1988-1994,63,Incl 59 from European production line (incl production of components in UK and other European countries and assembly in UK)
     ,130,TPE-331,turboprop,1985,1987-1993,130,For 130 EMB-312 (Tucano T-1) trainer aircraft from Brazil; incl production of 50% components in UK
     ,5,Sea King HAS-6,ASW helicopter,1990,1991-1996,5,Sea King HAS-6 version
     ,980,AGM-114L HELLFIRE,anti-tank missile,1995,2000-2003,980,For AH-64D combat helicopters
     ,1600,AGM-114K HELLFIRE,anti-tank missile,1996,2000-2004,1600,For AH-64D combat helicopters; assembled/produced in UK
     ,67,AH-64D Apache,combat helicopter,1996,2000-2004,67,$2.8-3.95 b deal (offsets 100% incl assembly and production of components in UK); WAH-64D version; UK designation Apache AH-1
     ,5,ASTOR,AGS radar,1999,2007,5,Part of $1.3 b deal (offsets 100% incl production of 4 in UK); for modification of 5 BD-700 transport aircraft from Canada to AGS aircraft
     ,3871,FGM-148 Javelin,anti-tank missile,2003,2005-2007,3871,GBP300 m ($459-490 m) 'LFATGWS' programme (offsets 100% incl production of components in UK)
     ,2303,Paveway,guided bomb,2003,2008-2013,2303,GBP120 m ($190 m) 'PGB' programme; Paveway-4 version
     ,1200,FGM-148 Javelin,anti-tank missile,2004,2007-2008,1200,GBP100 m ($179 m) deal (offsets 100% incl production of components in UK)
     ,2844,GMLRS,guided rocket,2005,2007-2012,2844,GBP250 m ($475 m) programme (incl first $60 m deal in 2005; 12.5% of development financed by UK; warhead and other components produced in UK); for use with MLRS and LIMAWS(R) MRL
     ,108,Cougar,APC,2006,2006-2007,108,For use in Afghanistan and Iraq; UK designation MPV or Mastiff
     ,138,F-35B Lightning-2,FGA aircraft,2006,2012-2021,24,'FCJA' or 'JCA' programme; incl production of components in UK; 138 planned of which 48 ordered by end-2021
     ,24,Cougar,APC,2008,2009,24,$15 m deal; UK designation Mastiff-2
     ,14,Cougar,APC,2008,2009,14,$19 m deal; Buffalo version
     ,97,Cougar,APC,2009,2010-2011,97,$123 m 'TSV (Heavy)' programme; Wolfhound ALV version
     ,1300,FGM-148 Javelin,anti-tank missile,2009,2010-2012,1300,$176 m deal
     ,262,MXT-MV,APV,2009,2009-2010,262,$180 m 'TSV (Medium)' programme; UK designation Husky
     ,14,CH-47F Chinook,transport helicopter,2011,2014-2015,14,GBP1 b ($1.6 b) 'FRC Land Lift (Heavy)' programme (incl 5 years support; offsets incl production of components in UK); UK designation Chinook HC-6
     ,1000,Paveway,guided bomb,2012,2013-2014,1000,GBP60 m deal; Paveway-4 version; replacing Paveway used in Libya war 2011
     ,400,Paveway,guided bomb,2012,2013,400,GBP25 m deal; Paveway-4 version; produced in UK
     ,250,Paveway,guided bomb,2012,2014,250,Paveway-4 version; produced in UK
     ,50,AH-64E Apache,combat helicopter,2016,2020-2021,14,AH-64E Version-6 version; incl production of components in UK and components from deleted UK WAH-64D helicopters; UK designation Apache AH-2; delivery planned 2020-2030
