country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,12,PC-9,trainer aircraft,2017,2017-2019,12,T-6C+ armed version
     ,1,Learjet-60,light transport ac,2019,2020,1,Second-hand; possibly for government VIP transport
     ,10,King Air,light transport ac,2020,2021,1,Second-hand; $17 m deal; incl 9 TC-12B and 1 UC-12B versions; delivery planned 2021-2024
  ,2,SH-3H Sea King,ASW helicopter,2021,,,Second-hand but possibly modernized before delivery; $13 m deal
Australia,,,,,,,
,10,CF6/F-103,turbofan,2004,2011-2012,10,For 5 A-330 MRTT tanker/transport aircraft from France
     ,111,F-86 Sabre,fighter aircraft,1951,1956-1961,111,"Version modified in Australia with UK engine; Australian designation CA-27 Sabre; incl 21 Mk-31, 21 Mk-31 and 69 Mk-32 version"
     ,56,Bell-206/OH-58,light helicopter,1971,1971-1977,56,Bell-206B-1 version; 44 assembled/produced in Australia
     ,75,F/A-18A Hornet,FGA aircraft,1981,1985-1990,75,$2.8 b deal; 73 assembled from kits in Australia; incl 18 F/A-18B version
     ,7,TPQ-36 Firefinder,arty locating radar,1982,1986-1987,7,Incl production of components on Australia
     ,2,Perry,frigate,1983,1992-1993,2,Australian designation Adelaide
     ,4,TPS-77,air search radar,1998,2004-2005,4,AUD125-150 m ($68-90 m) 'Project Air-5375'
     ,4,Boeing-737 AEW&C,AEW&C aircraft,2000,2009-2010,4,Part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3' (incl production of components and assembly of 2 in Australia); Australian designation A-30
    ,400,RIM-162 ESSM,SAM,2002,2003-2017,400,For MEKO-200 (Anzac) and modernized Perry (Adelaide) frigates; incl production of components in Australia (as part of NATO Sea Sparrow Consortium)
     ,2,Boeing-737 AEW&C,AEW&C aircraft,2004,2011-2012,2,AUD326 m ($224 m) deal (part of AUD3.8 b ($2.5-3.5 b) 'Wedgetail' programme or 'Project Air-5077 Phase-3'; incl production of components and assembly in Australia); Australian designation A-30
  ,100,RIM-162 ESSM,SAM,2007,2017-2018,100,For Hobart destroyers; incl production of components in Australia (as part of NATO Sea Sparrow Consortium)
     ,72,F-35A Lightning-2,FGA aircraft,2009,2014-2021,48,AUD16 b ($13.5 b) 'Project Air-6000' (incl production of components in Australia); delivery planned 2014-2023
     ,250,JDAM,guided bomb,2011,2015-2016,250,JDAM-ER version; incl production of components in Australia
     ,12,P-8A Poseidon,ASW aircraft,2014,2016-2020,12,Incl production of components in Australia
     ,,RIM-162 ESSM Block-2,SAM,2018,,,Incl production of components in Australia (as part of NATO Sea Sparrow Consortium)
   ,2,P-8A Poseidon,ASW aircraft,2021,,,Incl production of components in Australia
    ,2,S-51/H-5F,light helicopter,1950,1951,2,
     ,12,P-2E Neptune,ASW aircraft,1951,1951-1952,12,
     ,2,CV-440,transport aircraft,1954,1955,2,For VIP transport
     ,12,C-130B Hercules,transport aircraft,1957,1958-1959,12,C-130A version
     ,11,Bell-47/OH-13,light helicopter,1958,1959-1961,11,
    ,9,Cessna-180 Skywagon,light aircraft,1958,1959,9,
     ,600,AIM-9B Sidewinder,SRAAM,1959,1960-1961,600,For F-86F (CA-27) combat aircraft
     ,65,Bell-47/OH-13,light helicopter,1959,1960-1969,54,
     ,254,M-101A1 105mm,towed gun,1959,1960-1961,254,Probably second-hand
     ,24,Bell-204B/UH-1B,helicopter,1961,1962-1964,24,Incl for SAR
     ,12,P-2H Neptune,ASW aircraft,1961,1962,12,
     ,2,Adams,destroyer,1962,1965,2,AUD80 m deal
     ,700,M-113,APC,1962,1963-1972,700,"M-113A1 version; incl M-577A1 CP, M-125A1 81mm mortar carrier, ARV and other versions"
     ,200,RIM-24 Tartar,SAM,1962,1965-1967,200,For Adams destroyers
    ,1,Adams,destroyer,1963,1967,1,AUD50 m deal
    ,200,AIM-9B Sidewinder,SRAAM,1963,1964,200,For Mirage-3O combat aircraft
     ,,7,Bell-204B/UH-1B,helicopter,-1963,19641966,-7
     ,24,F-111C,bomber aircraft,1963,1973-1974,24,AUD112 m deal; delivery delayed until 1973 due to technical problems with aircraft
     ,12,C-130E Hercules,transport aircraft,1964,1966,12,
     ,200,Mk-44,ASW torpedo,1964,1965-1972,200,Incl for Ikara ASW missile produced in Australia
     ,10,P-3B Orion,ASW aircraft,1964,1969,10,
     ,8,Bell-205/UH-1D,helicopter,1965,1966-1967,8,
     ,10,Cessna-180 Skywagon,light aircraft,1965,1966,10,
     ,3,TPS-43,air search radar,1965,1967-1969,3,Part of 'Hub Cap' air surveillance network
     ,10,A-4E Skyhawk,FGA aircraft,1966,1967-1968,10,Part of  AUD46 m deal; A-4G version; incl 2 TA-4G; for use on aircraft carrier
     ,14,S-2E Tracker,ASW aircraft,1966,1966-1967,14,Part of deal worth AUD46 m; for use on aircraft carrier
     ,23,Bell-205/UH-1H,helicopter,1967,1968-1970,23,
